title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url,price_clean,area_clean,bedroom_clean,bathroom_clean,district,security_score,safety_score,cost_score,services_score,final_score
Apartamento en alquiler en Ur. Campo De Polo,"Ur. Campo De Polo, Magdalena del Mar, Lima, Lima ","S/.3,900",3 dormitorios,3 baños,100 m²,2009.0,,Apartamento,Alquiler,28 ene. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-af2e-1d4f69ddb2cd-b3db4a2e-974d-4540,3900.0,100.0,3,3,MAGDALENA DEL MAR,9.26,9.26,9.98945945945946,8.8,9.46
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ","USD1,150",3 dormitorios,4 baños,135 m²,2014.0,S/.520,Apartamento,Alquiler,25 feb. 2023 - Publicado por Lady Montes de Oca,https://www.properati.com.pe/detalle/14032-32-205b-cd0ee430d35d-3ba16fcb-b37a-458a,4255.0,135.0,3,4,SAN ISIDRO,8.86,8.86,9.99148148148148,9.6,9.46
Apartamento en alquiler en Ur. Mariscal Castilla,"Ur. Mariscal Castilla, San Borja, Lima, Lima ",USD800,3 dormitorios,4 baños,129 m²,2013.0,S/.300,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por REQUIEROMICASA ",https://www.properati.com.pe/detalle/14032-32-8af7-1cdb06d9c0f3-b3b3d36-af41-42b8,2960.0,129.0,3,4,SAN BORJA,8.86,8.86,9.993798449612402,9.56,9.45
Casa en alquiler en Co. La Molina Real,"Co. La Molina Real, La Molina, Lima, Lima ","USD2,200",5 dormitorios,5 baños,280 m²,2013.0,S/.600,Casa,Alquiler,16 mar. 2023 - Publicado por REMAX SPAZIO,https://www.properati.com.pe/detalle/14032-32-41c4-83677a5d1ce-d414da19-b116-4233,8140.0,280.0,5,5,LA MOLINA,8.83,8.83,9.992142857142857,9.56,9.44
Apartamento en alquiler en Ur. Limatambo,"Ur. Limatambo, San Isidro, Lima, Lima ","USD1,500",3 dormitorios,4 baños,200 m²,2011.0,S/.800,Apartamento,Alquiler,11 mar. 2023 - Publicado por Prime House,https://www.properati.com.pe/detalle/14032-32-8ede-2dc787348dec-f6829be-84fa-4516,5550.0,200.0,3,4,SAN ISIDRO,8.86,8.86,9.9925,9.48,9.44
Apartamento en alquiler en Ur. Oyague,"Ur. Oyague, Pueblo Libre, Lima, Lima ","S/.2,500",3 dormitorios,3 baños,150 m²,2012.0,S/.180,Apartamento,Alquiler,5 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-4a71-663fa8f57892-21a9862b-92fb-4f8d,2500.0,150.0,3,3,PUEBLO LIBRE,9.15,9.15,9.995495495495495,8.92,9.44
Casa en alquiler en Ur. Javier Prado (Cahuache),"Ur. Javier Prado (Cahuache), San Borja, Lima, Lima ","USD1,700",9 dormitorios,9 baños,200 m²,2012.0,,Casa,Alquiler,1 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-195a-5e02d83a21b-989fca48-9fa2-47d9,6290.0,200.0,9,9,SAN BORJA,8.86,8.86,9.9915,9.52,9.44
Apartamento en alquiler en Ur. El Palomar,"Ur. El Palomar, San Isidro, Lima, Lima ","USD1,200",4 dormitorios,4 baños,148 m²,2011.0,S/.500,Apartamento,Alquiler,9 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-b9f9-91e8667efcbd-1173703-b83e-43d9,4440.0,148.0,4,4,SAN ISIDRO,8.86,8.86,9.991891891891893,9.48,9.44
Apartamento en alquiler en Ur. Jardin,"Ur. Jardin, San Isidro, Lima, Lima ","USD1,200",4 dormitorios,3 baños,156 m²,2011.0,S/.450,Apartamento,Alquiler,1 mar. 2023 - Publicado por Lien Hub Inmobiliario,https://www.properati.com.pe/detalle/14032-32-fd2b-fa8e8374ef47-a9b776e9-aff2-4ab4,4440.0,156.0,4,3,SAN ISIDRO,8.86,8.86,9.992307692307692,9.48,9.44
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ","USD2,600",3 dormitorios,4 baños,244 m²,2012.0,S/.960,Apartamento,Alquiler,13 feb. 2023 - Publicado por Rocío Mazzetti,https://www.properati.com.pe/detalle/14032-32-8038-8db6ab952c33-a858f17c-a07a-4b36,9620.0,244.0,3,4,SAN ISIDRO,8.86,8.86,9.989344262295083,9.52,9.44
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ","USD2,800",3 dormitorios,4 baños,383 m²,2010.0,"S/.1,200",Apartamento,Alquiler,12 ene. 2023 - Publicado por NG Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-2ddc-2d8fbfc13b92-412dab8b-b7ef-479b,10360.0,383.0,3,4,SAN BORJA,8.86,8.86,9.992689295039165,9.44,9.43
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ","USD1,200",3 dormitorios,3 baños,110 m²,2010.0,S/.380,Apartamento,Alquiler,26 dic. 2022 - Publicado por Agentes Asociados,https://www.properati.com.pe/detalle/14032-32-1250-4ee6de009722-f8af4558-a625-44e6,4440.0,110.0,3,3,BARRANCO,9.17,9.17,9.989090909090908,8.84,9.43
Casa de playa en alquiler en Ur. Punta Negra,"Ur. Punta Negra, Punta Negra, Lima, Lima ",USD800,3 dormitorios,2 baños,120 m²,1993.0,,Casa de playa,Alquiler,12 feb. 2023 - Publicado por RTA TECHNICONCEPT,https://www.properati.com.pe/detalle/14032-32-e704-c9ad113a8900-6d677976-a60e-4667,2960.0,120.0,3,2,PUNTA NEGRA,9.93,9.93,9.993333333333332,7.26,9.42
Apartamento en alquiler en Ur. Monterrico Norte,"Ur. Monterrico Norte, San Borja, Lima, Lima ","USD1,150",3 dormitorios,3 baños,139 m²,2022.0,S/.500,Apartamento,Alquiler,25 mar. 2023 - Publicado por Tasso Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-de63-da2e8f822c52-c0aa7dd-9b21-4493,4255.0,139.0,3,3,SAN BORJA,8.86,8.86,9.991726618705036,9.32,9.4
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ","USD1,500",3 dormitorios,3 baños,150 m²,2022.0,S/.700,Apartamento,Alquiler,9 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-d9b7-2cf8649679c1-18551c74-a815-4a3c,5550.0,150.0,3,3,SAN BORJA,8.86,8.86,9.99,9.32,9.4
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ","S/.3,400",3 dormitorios,3 baños,91 m²,2022.0,S/.240,Apartamento,Alquiler,17 nov. 2022 - Publicado por Alfredo Maccera,https://www.properati.com.pe/detalle/14032-32-662b-5b1103224919-d6de7530-c006-120d,3400.0,91.0,3,3,SAN BORJA,8.86,8.86,9.989901989901991,9.32,9.4
Apartamento en alquiler en Ur. Santa Monica,"Ur. Santa Monica, San Isidro, Lima, Lima ","USD3,500",3 dormitorios,3 baños,320 m²,2020.0,"S/.1,200",Apartamento,Alquiler,7 nov. 2022 - Publicado por 2g Agentes Inmobiliarios,https://www.properati.com.pe/detalle/14032-32-11a4-d426ee3fbada-1f0153c1-ada5-3fcb,12950.0,320.0,3,3,SAN ISIDRO,8.86,8.86,9.9890625,9.239999999999998,9.39
Casa en alquiler en Ur. El Sol De La Molina Etapa I,"Ur. El Sol De La Molina Etapa I, La Molina, Lima, Lima ","USD2,200",4 dormitorios,3 baños,330 m²,2006.0,S/.600,Casa,Alquiler,6 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-7c27-9aef3ad01741-55e52c06-a397-4aca,8140.0,330.0,4,3,LA MOLINA,8.83,8.83,9.993333333333332,9.280000000000001,9.39
Casa en alquiler en Ur. El Sol De La Molina Etapa I,"Ur. El Sol De La Molina Etapa I, La Molina, Lima, Lima ","USD2,300",4 dormitorios,3 baños,330 m²,2006.0,S/.600,Casa,Alquiler,6 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-448b-c8a06f851ae-acb12818-bb46-4c4f,8510.0,330.0,4,3,LA MOLINA,8.83,8.83,9.993030303030302,9.280000000000001,9.39
Apartamento en alquiler en Ah. Moron,"Ah. Moron, Chaclacayo, Lima, Lima ",USD370,3 dormitorios,2 baños,85 m²,2011.0,,Apartamento,Alquiler,"Hace 2 semanas, 4 días - Publicado por Remax Diamond",https://www.properati.com.pe/detalle/14032-32-bf6-4f67af066e6e-38077caa-bf4e-4ed5,1369.0,85.0,3,2,CHACLACAYO,9.48,9.48,9.995647058823529,7.98,9.39
