title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url,price_clean,area_clean,bedroom_clean,bathroom_clean,district,security_score,safety_score,cost_score,services_score,final_score
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ","S/.2,700",2 dormitorios,2 baños,62 m²,2023.0,S/.250,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por Dominio Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-ef00-eb2bc763034e-f11679a9-abab-4248,2700.0,62.0,2,2,SAN ISIDRO,8.86,8.86,9.98823016564952,7.5600000000000005,9.05
Apartamento en alquiler en Re. San Felipe,"Re. San Felipe, San Isidro, Lima, Lima ","USD1,200",3 dormitorios,2 baños,156 m²,2000.0,S/.550,Apartamento,Alquiler,20 mar. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-e30a-391f8a0d1bb9-c6e8a62-bcc0-4ae7,4440.0,156.0,3,2,SAN ISIDRO,8.86,8.86,9.992307692307692,7.54,9.05
Apartamento en alquiler en Ur. Chacarilla Santa Cruz Zona Santa Isabel B,"Ur. Chacarilla Santa Cruz Zona Santa Isabel B, San Isidro, Lima, Lima ","USD1,650",3 dormitorios,2 baños,170 m²,2000.0,,Apartamento,Alquiler,29 nov. 2022 - Publicado por Asesoria Inmobiliaria Alkon,https://www.properati.com.pe/detalle/14032-32-f0ad-3042b1ab8381-50d0f42e-a40a-45df,6105.0,170.0,3,2,SAN ISIDRO,8.86,8.86,9.990294117647059,7.54,9.05
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",USD780,3 dormitorios,2 baños,105 m²,2000.0,,Apartamento,Alquiler,24 feb. 2023 - Publicado por Century 21 Máxima,https://www.properati.com.pe/detalle/14032-32-3051-b3e8812b96e6-24361292-ab56-3bcd,2886.0,105.0,3,2,SAN ISIDRO,8.86,8.86,9.992571428571429,7.54,9.05
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ","USD1,500",2 dormitorios,3 baños,183 m²,2000.0,S/.477,Apartamento,Alquiler,4 mar. 2023 - Publicado por RE/MAX POWER EXPO,https://www.properati.com.pe/detalle/14032-32-eaa9-823454b5b116-af290f4c-bd52-417a,5550.0,183.0,2,3,SAN ISIDRO,8.86,8.86,9.991803278688526,7.54,9.05
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ","USD1,100",3 dormitorios,2 baños,124 m²,2000.0,S/.400,Apartamento,Alquiler,1 mar. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-694a-fd96106fb6c6-323ecb67-949a-40a6,4070.0,124.0,3,2,SAN ISIDRO,8.86,8.86,9.991129032258065,7.54,9.05
Apartamento en alquiler en Ur. El Rosario,"Ur. El Rosario, San Isidro, Lima, Lima ","USD1,900",3 dormitorios,2 baños,203 m²,2000.0,,Apartamento,Alquiler,27 nov. 2022 - Publicado por Lucy Mier y Teran,https://www.properati.com.pe/detalle/14032-32-1ae8-2ef1cf1fab82-f77ad90f-9507-44e3,7030.0,203.0,3,2,SAN ISIDRO,8.86,8.86,9.99064039408867,7.54,9.05
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD2,500",3 dormitorios,4 baños,200 m²,2020.0,S/.600,Apartamento,Alquiler,22 feb. 2023 - Publicado por Josh Vega,https://www.properati.com.pe/detalle/14032-32-b2f7-d3c31cf124d9-5b16b160-9cde-120d,9250.0,200.0,3,4,MIRAFLORES,7.68,7.68,9.9875,9.84,9.04
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ","S/.2,700",2 dormitorios,2 baños,68 m²,2021.0,S/.280,Apartamento,Alquiler,14 mar. 2023 - Publicado por Home Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-27a2-5ef3eb2766e9-c9c23a68-a285-4e75,2700.0,68.0,2,2,SAN ISIDRO,8.86,8.86,9.989268680445152,7.4799999999999995,9.04
Apartamento en alquiler en Ur. Las Laderas De Melgarejo,"Ur. Las Laderas De Melgarejo, La Molina, Lima, Lima ","S/.2,300",2 dormitorios,3 baños,76 m²,2000.0,,Apartamento,Alquiler,10 mar. 2023 - Publicado por Remax Diamond,https://www.properati.com.pe/detalle/14032-32-5a50-fa71d36f18b8-ec2437fb-b653-5005,2300.0,76.0,2,3,LA MOLINA,8.83,8.83,9.991820768136558,7.54,9.04
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Surquillo, Lima, Lima ","S/.2,800",2 dormitorios,2 baños,78 m²,2019.0,,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por RE/MAX PRO",https://www.properati.com.pe/detalle/14032-32-c7d0-8d134af667ba-b6392442-a7c0-49bb,2800.0,78.0,2,2,SURQUILLO,8.9,8.9,9.990297990297991,7.4,9.04
Apartamento en alquiler en Ur. San Cesar Etapa I,"Ur. San Cesar Etapa I, La Molina, Lima, Lima ","USD1,200",2 dormitorios,3 baños,124 m²,2000.0,,Apartamento,Alquiler,"Hace 6 días, 21 horas - Publicado por Dominio Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-2be3-e5d8b3e62770-4f45264-b50c-4b0d,4440.0,124.0,2,3,LA MOLINA,8.83,8.83,9.990322580645161,7.54,9.04
Apartamento en alquiler en Ur. Maranga Etapa V,"Ur. Maranga Etapa V, San Miguel, Lima, Lima ","S/.2,700",3 dormitorios,2 baños,140 m²,2005.0,S/.220,Apartamento,Alquiler,25 ene. 2023 - Publicado por joresco real estate,https://www.properati.com.pe/detalle/14032-32-9d04-59507aea7342-2abc1860-8436-120d,2700.0,140.0,3,2,SAN MIGUEL,8.7,8.7,9.994787644787644,7.74,9.03
Apartamento en alquiler en Ur. Jardin,"Ur. Jardin, San Isidro, Lima, Lima ","USD1,000",2 dormitorios,2 baños,72 m²,2021.0,S/.250,Apartamento,Alquiler,22 feb. 2023 - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-6433-61314a5b0d9a-f851fa3e-aaf6-4d4f,3700.0,72.0,2,2,SAN ISIDRO,8.86,8.86,9.98611111111111,7.4799999999999995,9.03
Apartamento en alquiler en Ur. Cahuache,"Ur. Cahuache, San Luis, Lima, Lima ","S/.2,500",3 dormitorios,1 baño,120 m²,2000.0,,Apartamento,Alquiler,"Hace 3 semanas, 18 horas - Publicado por REMAX AHORA",https://www.properati.com.pe/detalle/14032-32-a1b5-12c4a40e664e-3218e785-9bee-4200,2500.0,120.0,3,1,SAN LUIS,9.26,9.26,9.99436936936937,6.64,9.03
Apartamento en alquiler en Ur. Chacarilla Santa Cruz Zona Santa Isabel B,"Ur. Chacarilla Santa Cruz Zona Santa Isabel B, San Isidro, Lima, Lima ","USD1,650",3 dormitorios,2 baños,170 m²,1998.0,S/.900,Apartamento,Alquiler,8 feb. 2023 - Publicado por Corretaje Pelusa,https://www.properati.com.pe/detalle/14032-32-e189-d378a83c99d7-a2d802db-a7e1-4650,6105.0,170.0,3,2,SAN ISIDRO,8.86,8.86,9.990294117647059,7.460000000000001,9.03
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ","S/.2,400",3 dormitorios,1 baño,100 m²,2020.0,S/.1,Apartamento,Alquiler,4 ene. 2023 - Publicado por Proyectum  Perú,https://www.properati.com.pe/detalle/14032-32-80c7-5e080f64b972-f60e55aa-9332-46a5,2400.0,100.0,3,1,SAN BORJA,8.86,8.86,9.993513513513513,7.4399999999999995,9.03
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ","USD2,990",3 dormitorios,4 baños,355 m²,2018.0,"S/.1,100",Apartamento,Alquiler,15 ago. 2022 - Publicado por IMPERIAL INN MIRAFLORES S.A.C.,https://www.properati.com.pe/detalle/14032-32-e0ca-fa1410aff861-caeb33ac-8072-4c39,11063.0,355.0,3,4,MIRAFLORES,7.68,7.68,9.991577464788733,9.76,9.02
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD1,000",3 dormitorios,4 baños,120 m²,2017.0,,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-dc8e-bd09dfbec13e-9117ab38-b075-46cd,3700.0,120.0,3,4,MIRAFLORES,7.68,7.68,9.991666666666667,9.719999999999999,9.01
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD1,000",3 dormitorios,4 baños,120 m²,2017.0,S/.600,Apartamento,Alquiler,"Hace 2 semanas, 4 días - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-5f34-2cb9cb9de99-94233060-b7d5-4099,3700.0,120.0,3,4,MIRAFLORES,7.68,7.68,9.991666666666667,9.719999999999999,9.01
Casa en alquiler en Ur. Jacaranda,"Ur. Jacaranda, San Borja, Lima, Lima ","USD1,800",3 dormitorios,3 baños,250 m²,1972.0,,Casa,Alquiler,"Hace 1 semana, 20 horas - Publicado por Remax Integrity",https://www.properati.com.pe/detalle/14032-32-80ac-4eb48396460d-83674852-92aa-425a,6660.0,250.0,3,3,SAN BORJA,8.86,8.86,9.992799999999999,7.319999999999999,9.01
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD1,000",3 dormitorios,4 baños,120 m²,2017.0,S/.600,Apartamento,Alquiler,7 mar. 2023 - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-1abc-d574af44a7b-471bcff5-ae70-4ef2,3700.0,120.0,3,4,MIRAFLORES,7.68,7.68,9.991666666666667,9.719999999999999,9.01
Apartamento en alquiler en Ur. Limatambo,"Ur. Limatambo, San Isidro, Lima, Lima ","S/.3,400",2 dormitorios,2 baños,86 m²,2018.0,,Apartamento,Alquiler,2 feb. 2023 - Publicado por OLIVAR REAL ESTATE,https://www.properati.com.pe/detalle/14032-32-3f2b-e6bcc73bc11b-333b93b-bddb-3f78,3400.0,86.0,2,2,SAN ISIDRO,8.86,8.86,9.98931489629164,7.359999999999999,9.01
Apartamento en alquiler en Ur. Villa Jardin,"Ur. Villa Jardin, San Luis, Lima, Lima ","S/.1,580",2 dormitorios,1 baño,70 m²,2020.0,,Apartamento,Alquiler,13 mar. 2023 - Publicado por Maria Bolognesi,https://www.properati.com.pe/detalle/14032-32-7610-879441525815-991b6bb0-b39c-4c43,1580.0,70.0,2,1,SAN LUIS,9.26,9.26,9.993899613899615,6.539999999999999,9.01
Casa en alquiler en Ur. El Palomar,"Ur. El Palomar, San Isidro, Lima, Lima ","USD2,600",4 dormitorios,5 baños,351 m²,1958.0,,Casa,Alquiler,Hace 3 semanas - Publicado por IMMOBILIARE,https://www.properati.com.pe/detalle/14032-32-9430-c786f9b5843e-f3a8a0b8-bab0-48b7,9620.0,351.0,4,5,SAN ISIDRO,8.86,8.86,9.992592592592594,7.359999999999999,9.01
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ","USD1,400",3 dormitorios,4 baños,210 m²,2015.0,S/.650,Apartamento,Alquiler,19 nov. 2022 - Publicado por Lien Hub Inmobiliario,https://www.properati.com.pe/detalle/14032-32-1c87-391426fddf66-e9c9d2ce-af70-4c3e,5180.0,210.0,3,4,MIRAFLORES,7.68,7.68,9.993333333333332,9.64,9.0
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ","USD1,050",1 dormitorio,15 baños,90 m²,2016.0,,Apartamento,Alquiler,11 ene. 2023 - Publicado por setagroup.pe,https://www.properati.com.pe/detalle/14032-32-6f28-9553055e6f47-c0da0a63-a28b-318a,3885.0,90.0,1,15,MIRAFLORES,7.68,7.68,9.988333333333333,9.68,9.0
Apartamento en alquiler en Ur. Los Patricios (San Felipe),"Ur. Los Patricios (San Felipe), Jesús María, Lima, Lima ",USD800,3 dormitorios,2 baños,76 m²,2005.0,S/.268,Apartamento,Alquiler,28 feb. 2023 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-998c-974062cc4d8a-2245523a-95d2-414d,2960.0,76.0,3,2,JESUS MARIA,8.64,8.64,9.989473684210527,7.74,9.0
Apartamento en alquiler en Ur. Portada Del Sol Etapa I (A.E.M.G),"Ur. Portada Del Sol Etapa I (A.E.M.G), La Molina, Lima, Lima ","S/.1,500",2 dormitorios,2 baños,80 m²,2017.0,,Apartamento,Alquiler,27 mar. 2023 - Publicado por Arias Propiedades,https://www.properati.com.pe/detalle/14032-32-4319-3c5254cf91e4-3d21f2e6-94d7-4f86,1500.0,80.0,2,2,LA MOLINA,8.83,8.83,9.994932432432433,7.319999999999999,8.99
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD6,500",5 dormitorios,5 baños,500 m²,2015.0,"S/.1,300",Apartamento,Alquiler,14 ene. 2023 - Publicado por PERU LUXURY PROPERTIES,https://www.properati.com.pe/detalle/14032-32-8f28-24c41263cce6-9ea03c1f-944b-4764,24050.0,500.0,5,5,MIRAFLORES,7.68,7.68,9.987,9.64,8.99
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,650",2 dormitorios,2 baños,135 m²,2015.0,S/.653,Apartamento,Alquiler,24 mar. 2023 - Publicado por Rocío Mazzetti,https://www.properati.com.pe/detalle/14032-32-1b0e-30882899e168-ee9a895e-a56c-4f1a,6105.0,135.0,2,2,SAN ISIDRO,8.86,8.86,9.987777777777778,7.24,8.99
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD2,100",3 dormitorios,4 baños,267 m²,2014.0,S/.500,Apartamento,Alquiler,3 mar. 2023 - Publicado por RE/MAX Talento,https://www.properati.com.pe/detalle/14032-32-9a42-905bda75d781-8eebda60-910e-4f85,7770.0,267.0,3,4,MIRAFLORES,7.68,7.68,9.992134831460675,9.6,8.99
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ","S/.2,400",3 dormitorios,2 baños,88 m²,2000.0,S/.250,Apartamento,Alquiler,27 mar. 2023 - Publicado por RE/MAX Today,https://www.properati.com.pe/detalle/14032-32-ed82-251856ecc93f-bc9f57dc-b5fb-4bb6,2400.0,88.0,3,2,SAN MIGUEL,8.7,8.7,9.992628992628992,7.54,8.99
Apartamento en alquiler en Ur. Arboleda De Maranga,"Ur. Arboleda De Maranga, San Miguel, Lima, Lima ",USD479,3 dormitorios,3 baños,1 Medio baño,2000.0,,Apartamento,Alquiler,17 mar. 2023 - Publicado por  Ivan  Santa Cruz Maza ,https://www.properati.com.pe/detalle/14032-32-a76a-3d01fc1df23d-2ee6e1a0-a8a9-3b9d,1772.3000000000002,1.0,3,3,SAN MIGUEL,8.7,8.7,9.520999999999999,8.44,8.98
Apartamento en alquiler en Ur. Maranga Etapa Ii,"Ur. Maranga Etapa Ii, San Miguel, Lima, Lima ","S/.2,300",2 dormitorios,3 baños,70 m²,2000.0,,Apartamento,Alquiler,22 mar. 2023 - Publicado por Century 21 Premium,https://www.properati.com.pe/detalle/14032-32-6527-49826989f505-587fdca8-a3d8-3d9b,2300.0,70.0,2,3,SAN MIGUEL,8.7,8.7,9.99111969111969,7.54,8.98
Apartamento en alquiler en Ur. Humboldt,"Ur. Humboldt, Miraflores, Lima, Lima ","S/.2,700",3 dormitorios,4 baños,100 m²,2013.0,S/.290,Apartamento,Alquiler,"Hace 2 semanas, 5 días - Publicado por JM HOME INMOBILIARIA",https://www.properati.com.pe/detalle/14032-32-34ed-ca047eaa1fe1-f799dd67-a269-4814,2700.0,100.0,3,4,MIRAFLORES,7.68,7.68,9.992702702702703,9.56,8.98
Apartamento en alquiler en Ur. Miramar,"Ur. Miramar, San Miguel, Lima, Lima ","S/.1,900",3 dormitorios,2 baños,62 m²,1999.0,S/.200,Apartamento,Alquiler,"Hace 2 semanas, 16 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-d249-7a1a26a0ce25-241e1fc8-9492-454b,1900.0,62.0,3,2,SAN MIGUEL,8.7,8.7,9.991717523975588,7.5,8.98
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ","USD1,250",3 dormitorios,2 baños,150 m²,1990.0,S/.650,Apartamento,Alquiler,6 feb. 2023 - Publicado por Büro Propiedades,https://www.properati.com.pe/detalle/14032-32-139c-2a2d5f092748-cab56c2-83db-4448,4625.0,150.0,3,2,SAN ISIDRO,8.86,8.86,9.991666666666667,7.140000000000001,8.97
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,800",3 dormitorios,2 baños,240 m²,1990.0,,Apartamento,Alquiler,16 mar. 2023 - Publicado por Lucy Mier y Teran,https://www.properati.com.pe/detalle/14032-32-2fcc-dc5d12726f0d-9e75a2bb-8510-4194,6660.0,240.0,3,2,SAN ISIDRO,8.86,8.86,9.9925,7.140000000000001,8.97
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ","USD1,100",2 dormitorios,2 baños,112 m²,2013.0,S/.1,Apartamento,Alquiler,25 feb. 2023 - Publicado por RE/MAX Lider-Luis Lancho Navas,https://www.properati.com.pe/detalle/14032-32-7f32-71eb309b456e-388a0e68-8b66-4383,4070.0,112.0,2,2,SAN ISIDRO,8.86,8.86,9.990178571428572,7.16,8.97
Apartamento en alquiler en Ur. Jacaranda,"Ur. Jacaranda, San Borja, Lima, Lima ",USD800,2 dormitorios,2 baños,90 m²,2012.0,S/.120,Apartamento,Alquiler,17 ene. 2023 - Publicado por AUGUSTO GREGORIO NOVOA CHAVEZ,https://www.properati.com.pe/detalle/14032-32-7d78-e5d79af79987-f2930fb7-9ab3-4d3b,2960.0,90.0,2,2,SAN BORJA,8.86,8.86,9.99111111111111,7.12,8.96
Casa en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ","USD3,000",10 dormitorios,10 baños,250 m²,2011.0,,Casa,Alquiler,16 ene. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-12b3-3941988bded1-423779e9-9ad3-4105,11100.0,250.0,10,10,MIRAFLORES,7.68,7.68,9.988,9.48,8.96
Apartamento en alquiler en Ur. San Felipe,"Ur. San Felipe, Jesús María, Lima, Lima ",USD800,3 dormitorios,2 baños,93 m²,2000.0,S/.200,Apartamento,Alquiler,9 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-d7ce-ddfcdf65657c-ce6ed8b-b846-4237,2960.0,93.0,3,2,JESUS MARIA,8.64,8.64,9.991397849462366,7.54,8.96
Apartamento en alquiler en Ur. Santa Ines,"Ur. Santa Ines, San Isidro, Lima, Lima ","USD1,800",3 dormitorios,2 baños,255 m²,1989.0,"S/.1,014",Apartamento,Alquiler,23 feb. 2023 - Publicado por Verónica Arosemena,https://www.properati.com.pe/detalle/14032-32-861e-51ebd3d4560e-8d3e0474-b66d-4ee1,6660.0,255.0,3,2,SAN ISIDRO,8.86,8.86,9.992941176470588,7.1,8.96
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ",USD900,2 dormitorios,2 baños,91 m²,2003.0,S/.380,Apartamento,Alquiler,8 feb. 2023 - Publicado por CONFIAR Consultores Inmobiliarios Figari & Aramburú ,https://www.properati.com.pe/detalle/14032-32-a797-f9bd39e02be4-bace4340-98a9-120d,3330.0,91.0,2,2,LINCE,9.04,9.04,9.99010989010989,6.76,8.96
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ","USD2,600",4 dormitorios,5 baños,313 m²,2010.0,"S/.1,460",Apartamento,Alquiler,2 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-c8f0-b351c9b5dcdb-11b4ddbd-945e-4fbe,9620.0,313.0,4,5,MIRAFLORES,7.68,7.68,9.991693290734824,9.44,8.96
Casa en alquiler en Ah. Los Perales,"Ah. Los Perales, Santa Anita, Lima, Lima ","S/.3,500",5 dormitorios,3 baños,122 m²,2000.0,,Casa,Alquiler,14 feb. 2023 - Publicado por Remax Inmuebles,https://www.properati.com.pe/detalle/14032-32-9dc1-9277ce03e2f7-357138d8-af3d-4084,3500.0,122.0,5,3,SANTA ANITA,7.9,7.9,9.99224634470536,9.04,8.96
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",USD550,2 dormitorios,1 baño,67 m²,2018.0,S/.180,Apartamento,Alquiler,16 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-c5a2-ded6f74dff7-1ad4ac11-a46b-4a80,2035.0,67.0,2,1,BARRANCO,9.17,9.17,9.99179104477612,6.459999999999999,8.96
Apartamento en alquiler en Re. Monterrico Sur Ampliacion,"Re. Monterrico Sur Ampliacion, La Molina, Lima, Lima ","S/.2,800",3 dormitorios,2 baños,144 m²,1989.0,S/.250,Apartamento,Alquiler,9 feb. 2023 - Publicado por JUAN LIBORIO CORREA LUNA,https://www.properati.com.pe/detalle/14032-32-7bd7-360ed67628bf-4eac03aa-aa2e-498d,2800.0,144.0,3,2,LA MOLINA,8.83,8.83,9.994744744744745,7.1,8.95
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ","S/.2,800",2 dormitorios,2 baños,60 m²,2019.0,S/.200,Apartamento,Alquiler,17 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-a2df-45c2a4a73015-f66a53b3-8bdb-4551,2800.0,60.0,2,2,SAN MIGUEL,8.7,8.7,9.987387387387388,7.4,8.95
Apartamento en alquiler en Ur. Las Torres De San Miguelito Etapa I,"Ur. Las Torres De San Miguelito Etapa I, San Miguel, Lima, Lima ","S/.1,800",2 dormitorios,2 baños,69 m²,2018.0,S/.250,Apartamento,Alquiler,20 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-6c0c-d50e16df8e41-b32ecdbc-bcb1-4f05,1800.0,69.0,2,2,SAN MIGUEL,8.7,8.7,9.992949471210341,7.359999999999999,8.95
Apartamento en alquiler en Ur. Maranga Etapa Ii,"Ur. Maranga Etapa Ii, San Miguel, Lima, Lima ","S/.2,500",3 dormitorios,2 baños,124 m²,1995.0,,Apartamento,Alquiler,2 feb. 2023 - Publicado por REMAX FAMILY,https://www.properati.com.pe/detalle/14032-32-c20-9506af32f857-edbebebc-b920-438d,2500.0,124.0,3,2,SAN MIGUEL,8.7,8.7,9.994551002615518,7.34,8.95
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD2,490",3 dormitorios,3 baños,240 m²,2023.0,,Apartamento,Alquiler,24 feb. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-3bb6-7a09abeac4ff-88a1c0b7-8a42-4879,9213.0,240.0,3,3,MIRAFLORES,7.68,7.68,9.989625,9.36,8.94
Apartamento en alquiler en Ur. Bartolome Herrera,"Ur. Bartolome Herrera, San Miguel, Lima, Lima ","S/.2,200",2 dormitorios,2 baños,75 m²,2017.0,S/.250,Apartamento,Alquiler,28 feb. 2023 - Publicado por JY Inmobiliaria SAC,https://www.properati.com.pe/detalle/14032-32-f81d-6246a72a6bf-1881f5f0-83ab-47cc,2200.0,75.0,2,2,SAN MIGUEL,8.7,8.7,9.992072072072073,7.319999999999999,8.94
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ","S/.2,500",2 dormitorios,2 baños,65 m²,2000.0,,Apartamento,Alquiler,8 feb. 2023 - Publicado por REMAX UNITED,https://www.properati.com.pe/detalle/14032-32-e8ca-fe09d7d3860-57443d7-b22e-4918,2500.0,65.0,2,2,LINCE,9.04,9.04,9.98960498960499,6.64,8.94
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",USD800,2 dormitorios,2 baños,120 m²,2008.0,S/.350,Apartamento,Alquiler,"Hace 6 días, 23 horas - Publicado por MENDIETA INMOBILIARIA",https://www.properati.com.pe/detalle/14032-32-26e2-9685fe1d507-50c99715-8f45-4a3a,2960.0,120.0,2,2,SAN ISIDRO,8.86,8.86,9.993333333333332,6.96,8.93
Apartamento en alquiler en Ur. Javier Prado (Cahuache),"Ur. Javier Prado (Cahuache), San Borja, Lima, Lima ","S/.2,700",2 dormitorios,2 baños,170 m²,2008.0,,Apartamento,Alquiler,9 mar. 2023 - Publicado por INMOBILIARIA IMMONEO,https://www.properati.com.pe/detalle/14032-32-75b-7adb20ef03e9-137e3cd3-8ad9-46a0,2700.0,170.0,2,2,SAN BORJA,8.86,8.86,9.99570747217806,6.96,8.93
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD3,000",3 dormitorios,3 baños,225 m²,2022.0,S/.950,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por SANDRA USQUIANO",https://www.properati.com.pe/detalle/14032-32-1f6e-ed183900e498-f0de90ce-8bf2-4f6e,11100.0,225.0,3,3,MIRAFLORES,7.68,7.68,9.986666666666666,9.32,8.93
Apartamento en alquiler en Hu. Feria Internacional Del Pacifico,"Hu. Feria Internacional Del Pacifico, San Miguel, Lima, Lima ","S/.1,400",2 dormitorios,2 baños,70 m²,2016.0,S/.150,Apartamento,Alquiler,22 mar. 2023 - Publicado por Real Home Peru ,https://www.properati.com.pe/detalle/14032-32-a18d-4cc1a04641b6-4324b713-a8c5-4472,1400.0,70.0,2,2,SAN MIGUEL,8.7,8.7,9.994594594594595,7.28,8.93
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD1,300",3 dormitorios,3 baños,130 m²,2020.0,S/.450,Apartamento,Alquiler,27 ene. 2023 - Publicado por Remax Fusion,https://www.properati.com.pe/detalle/14032-32-7494-2cf5d25bb12a-b01b9fe7-aad6-4468,4810.0,130.0,3,3,MIRAFLORES,7.68,7.68,9.99,9.239999999999998,8.92
Apartamento en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ","S/.2,600",2 dormitorios,2 baños,69 m²,2015.0,S/.250,Apartamento,Alquiler,3 feb. 2023 - Publicado por RE/MAX PRO,https://www.properati.com.pe/detalle/14032-32-2df7-5b619c1ec409-9bdb9e6b-a410-428d,2600.0,69.0,2,2,SAN MIGUEL,8.7,8.7,9.989815902859382,7.24,8.92
Apartamento en alquiler en Ur. S/N,"Ur. S/N, Lince, Lima, Lima ","S/.1,800",2 dormitorios,1 baño,65 m²,2020.0,S/.1,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por Piero ñopo Echevarría",https://www.properati.com.pe/detalle/14032-32-551b-37dc49682ef8-778e8f6c-aace-4125,1800.0,65.0,2,1,LINCE,9.04,9.04,9.992515592515593,6.539999999999999,8.92
Apartamento en alquiler en Ur. S/N,"Ur. S/N, Lince, Lima, Lima ","S/.1,900",2 dormitorios,1 baño,65 m²,2020.0,S/.1,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por Piero ñopo Echevarría",https://www.properati.com.pe/detalle/14032-32-6042-bc6cca06fe11-593f02bc-9a61-4aaa,1900.0,65.0,2,1,LINCE,9.04,9.04,9.992099792099792,6.539999999999999,8.92
