title,price,area,bedrooms,district,scraped_date,source
31,3300.0,155.0,2.0,Miraflores,2025-12-24 11:44:07,urbania_pro
40,3400.0,96.0,3.0,Miraflores,2025-12-24 11:44:07,urbania_pro
