title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Sd. Aeropuerto De Collique,"Sd. Aeropuerto De Collique, Comas, Lima, Lima ","S/.1,100",3 dormitorios,2 baños,75 m²,2018,S/.1,Apartamento,Alquiler,"Hace 1 día, 20 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-5d53-f4ee2212b4a9-253d030d-b7e7-42cb
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Lima, Lima, Lima ",USD650,2 dormitorios,2 baños,67 m²,,,Apartamento,Alquiler,24 feb. 2023 - Publicado por Remax Concept,https://www.properati.com.pe/detalle/14032-32-49a0-30bd2c863788-b3875756-a152-4c8d
Apartamento en alquiler en Ur. Jorge Chavez,"Ur. Jorge Chavez, Surquillo, Lima, Lima ","S/.2,300",3 dormitorios,2 baños,81 m²,2011,S/.260,Apartamento,Alquiler,Hace 23 horas - Publicado por Century 21 Horizonte,https://www.properati.com.pe/detalle/14032-32-a193-d0793ffe4a08-361818ac-b031-4ab9
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ","S/.2,600",2 dormitorios,2 baños,100 m²,2015,,Apartamento,Alquiler,27 mar. 2023 - Publicado por Arias Propiedades,https://www.properati.com.pe/detalle/14032-32-4f01-631d281a2f33-b0955520-8b2d-4540
Apartamento en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ","S/.1,800",3 dormitorios,2 baños,120 m²,,,Apartamento,Alquiler,11 ene. 2023 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-d46e-bc3a6d693414-5794d311-9b91-4d61
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ","S/.1,800",2 dormitorios,1 baño,80 m²,,,Apartamento,Alquiler,11 mar. 2023 - Publicado por RealWasi Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-c073-1d4275824b2e-f1992ee0-83dc-120d
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ",USD620,1 dormitorio,2 baños,90 m²,2015,,Apartamento,Alquiler,28 feb. 2023 - Publicado por Fernando Alcalá Luna,https://www.properati.com.pe/detalle/14032-32-b78b-3f221c6da128-d1c75a60-b00f-120d
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ","USD1,800",4 dormitorios,3 baños,288 m²,2003,,Casa,Alquiler,Hace 17 horas - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-19fd-d2114f867c49-9bf1a34c-8c32-4ee8
Apartamento en alquiler en Jesús María,"Jesús María, Lima, Lima ","S/.2,500",3 dormitorios,2 baños,75 m²,2021,S/.300,Apartamento,Alquiler,"Hace 3 días, 21 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-1a6c-43ab4139a731-5d99686-86d8-49e4
Apartamento en alquiler en Re. San Felipe,"Re. San Felipe, San Isidro, Lima, Lima ",USD680,1 dormitorio,2 baños,47 m²,2019,S/.280,Apartamento,Alquiler,27 mar. 2023 - Publicado por CARLA EMPERATRIZ NEIRA SILVA,https://www.properati.com.pe/detalle/14032-32-45b8-b39d12e83d8-ff065b3f-8703-4114
