title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Casa en alquiler en Ur. San Joaquin,"Ur. San Joaquin, Bellavista, Callao, Callao ","S/.6,800",4 dormitorios,4 baños,500 m²,,,Casa,Alquiler,20 mar. 2023 - Publicado por DCITY Inmobiliaria   -  Denisse Soto & Asociados,https://www.properati.com.pe/detalle/14032-32-9913-ebc519e8200c-42b07e14-b5a0-4855
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",USD750,2 dormitorios,2 baños,70 m²,2023,S/.250,Apartamento,Alquiler,"Hace 6 días, 19 horas - Publicado por Corretajes Inmobiliarios Matessa SAC",https://www.properati.com.pe/detalle/14032-32-2732-1baec3acc30a-4a16d6cb-a582-4075
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ",USD950,3 dormitorios,2 baños,100 m²,2006,S/.400,Apartamento,Alquiler,26 ene. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-5e28-996bb85253b2-886857fc-8eac-4d5c
Apartamento en alquiler en La Victoria,"La Victoria, Lima, Lima ","S/.2,400",2 dormitorios,2 baños,60 m²,2023,,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Avanza Gestion Inmobiliaria E.I.R.L.",https://www.properati.com.pe/detalle/14032-32-6931-53ad62bdd577-a65639bd-bd32-3c00
Apartamento en alquiler en La Victoria,"La Victoria, Lima, Lima ","S/.1,700",1 dormitorio,1 baño,36 m²,2023,,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Avanza Gestion Inmobiliaria E.I.R.L.",https://www.properati.com.pe/detalle/14032-32-c05b-ea14df1cbf88-fa28c150-a74f-3b1c
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","S/.3,213",2 dormitorios,3 baños,125 m²,1990,,Apartamento,Alquiler,"Hace 2 semanas, 4 días - Publicado por Cesar Muñoz",https://www.properati.com.pe/detalle/14032-32-662b-cc5836dea45b-43710f55-b421-3aa3
Apartamento en alquiler en Cerro Colorado,"Cerro Colorado, Arequipa, Arequipa ","S/.1,900",3 dormitorios,4 baños,108 m²,2022,,Apartamento,Alquiler,"Hace 2 semanas, 12 horas - Publicado por Avanza Gestion Inmobiliaria E.I.R.L.",https://www.properati.com.pe/detalle/14032-32-83dc-3eff7823112-b283b2eb-b102-3838
Apartamento en alquiler en Ur. Oyague,"Ur. Oyague, Pueblo Libre, Lima, Lima ","S/.2,300",2 dormitorios,2 baños,70 m²,2020,,Apartamento,Alquiler,22 mar. 2023 - Publicado por Cesar Muñoz,https://www.properati.com.pe/detalle/14032-32-c90c-655c1dbb7f80-b7bb4464-8f82-3e82
Apartamento en alquiler en Ur. Limatambo,"Ur. Limatambo, San Isidro, Lima, Lima ","S/.3,400",2 dormitorios,2 baños,86 m²,2018,,Apartamento,Alquiler,2 feb. 2023 - Publicado por OLIVAR REAL ESTATE,https://www.properati.com.pe/detalle/14032-32-3f2b-e6bcc73bc11b-333b93b-bddb-3f78
Apartamento en alquiler en Ur. Los Recaudadores,"Ur. Los Recaudadores, Ate, Lima, Lima ","S/.2,200",3 dormitorios,2 baños,85 m²,2000,S/.150,Apartamento,Alquiler,23 mar. 2023 - Publicado por Javier Sánchez Agente Inmobiliario,https://www.properati.com.pe/detalle/14032-32-1cbe-bc6010987191-2cfde5d3-83da-4d65
Apartamento en alquiler en Sd. S/N,"Sd. S/N, Magdalena del Mar, Lima, Lima ",USD990,3 dormitorios,3 baños,106 m²,2022,S/.470,Apartamento,Alquiler,1 mar. 2023 - Publicado por Javier Sánchez Agente Inmobiliario,https://www.properati.com.pe/detalle/14032-32-6e07-f27f9f70a6ed-1eb11940-926c-40a6
Apartamento en alquiler en Santa Cruz,"Santa Cruz, Urb Jose Balta, Provincia de Lima, Provincia de Lima ",USD750,3 dormitorios,2 baños,80 m²,2012,S/.290,Apartamento,Alquiler,14 set. 2022 - Publicado por Corretajes Inmobiliarios Matessa SAC,https://www.properati.com.pe/detalle/14032-32-3291-5153393fa53c-87c1d546-badf-43d6
Apartamento en alquiler en Ur. Maranga Etapa Iii,"Ur. Maranga Etapa Iii, San Miguel, Lima, Lima ","S/.1,400",2 dormitorios,1 baño,70 m²,2013,S/.1,Apartamento,Alquiler,23 mar. 2023 - Publicado por Cynsi,https://www.properati.com.pe/detalle/14032-32-7b7d-dad5ccf57619-761be31b-bc96-501e
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD1,100",1 dormitorio,1 baño,120 m²,2018,,Apartamento,Alquiler,"Hace 6 días, 15 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-94e4-7400017644e-fc22b402-9a0f-45d8
Casa en alquiler en Santa Cruz de Flores,"Santa Cruz de Flores, Cañete, Lima ","S/.3,000",4 dormitorios,5 baños,"1,400 m²",2020,S/.400,Casa,Alquiler,"Hace 6 días, 17 horas - Publicado por CARLA EMPERATRIZ NEIRA SILVA",https://www.properati.com.pe/detalle/14032-32-d998-c7bcf6ab6cda-ea662900-b0f7-120d
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD1,450",2 dormitorios,3 baños,121 m²,,S/.420,Apartamento,Alquiler,"Hace 6 días, 20 horas - Publicado por Fiorella Saldarriaga",https://www.properati.com.pe/detalle/14032-32-13bc-c9853a53d7e2-d25f18e2-88e3-459f
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ",USD700,1 dormitorio,2 baños,45 m²,2023,S/.250,Apartamento,Alquiler,"Hace 6 días, 17 horas - Publicado por IMMOBILIARE",https://www.properati.com.pe/detalle/14032-32-6962-21062d9166b3-8e1616a-8086-4dfa
Apartamento en alquiler en Ur. San Eduardo,"Ur. San Eduardo, Chiclayo, Chiclayo, Lambayeque ","S/.1,750",2 dormitorios,1 baño,88 m²,,,Apartamento,Alquiler,16 mar. 2023 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-9047-c5efd336f427-dd2ccab1-8420-4620
Apartamento en alquiler en Ur. S/N,"Ur. S/N, Lince, Lima, Lima ","S/.1,800",2 dormitorios,1 baño,65 m²,2020,S/.1,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por Piero ñopo Echevarría",https://www.properati.com.pe/detalle/14032-32-551b-37dc49682ef8-778e8f6c-aace-4125
Apartamento en alquiler en Ur. El Derby,"Ur. El Derby, Santiago de Surco, Lima, Lima ","S/.3,300",2 dormitorios,2 baños,60 m²,2023,S/.300,Apartamento,Alquiler,"Hace 6 días, 17 horas - Publicado por IMMOBILIARE",https://www.properati.com.pe/detalle/14032-32-fb6d-6bed5cfd8b41-643a90cd-b846-4cf9
Apartamento en alquiler en San Felipe,"San Felipe, Provincia de Lima, Provincia de Lima ","USD1,000",2 dormitorios,3 baños,126 m²,2016,S/.300,Apartamento,Alquiler,26 dic. 2021 - Publicado por Fiorella Saldarriaga,https://www.properati.com.pe/detalle/14032-32-63fa-d75a9032dfc7-a172e92c-aaf7-4bf0
Apartamento en alquiler en Ur. S/N,"Ur. S/N, Lince, Lima, Lima ","S/.1,900",2 dormitorios,1 baño,65 m²,2020,S/.1,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por Piero ñopo Echevarría",https://www.properati.com.pe/detalle/14032-32-6042-bc6cca06fe11-593f02bc-9a61-4aaa
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ",USD650,2 dormitorios,2 baños,60 m²,,S/.250,Apartamento,Alquiler,16 mar. 2023 - Publicado por Lien Hub Inmobiliario,https://www.properati.com.pe/detalle/14032-32-878b-543a5f2e66a8-e680c195-9e6d-4d2e
Casa en alquiler en Ur. Primavera,"Ur. Primavera, Magdalena del Mar, Lima, Lima ","USD1,200",4 dormitorios,2 baños,80 m²,1963,S/.1,Casa,Alquiler,"Hace 2 semanas, 5 días - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-e988-671b51ad0d05-9a46bf51-869a-43ec
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ","USD1,150",2 dormitorios,2 baños,130 m²,,S/.750,Apartamento,Alquiler,"Hace 6 días, 21 horas - Publicado por Fiorella Saldarriaga",https://www.properati.com.pe/detalle/14032-32-e8aa-767e44a2b490-46e93fcf-8ac2-40a5
Apartamento en alquiler en Sector 3,"Sector 3, Provincia de Lima, Provincia de Lima ","USD1,300",3 dormitorios,2 baños,160 m²,2015,S/.760,Apartamento,Alquiler,20 abr. 2022 - Publicado por Lucy Mier y Teran,https://www.properati.com.pe/detalle/14032-32-962d-5e2b343e7355-c47abfb6-8d82-48f2
Casa en alquiler en Ur. San Luis,"Ur. San Luis, Chiclayo, Chiclayo, Lambayeque ","S/.1,300",3 dormitorios,4 baños,96 m²,,,Casa,Alquiler,17 mar. 2023 - Publicado por Chiclayo Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-be4a-8e9ce15f55ee-7badcef9-aa13-5012
Apartamento en alquiler en Ag. La Paz,"Ag. La Paz, San Miguel, Lima, Lima ","S/.1,750",3 dormitorios,2 baños,80 m²,2014,S/.235,Apartamento,Alquiler,23 ene. 2023 - Publicado por Silvia Lara - REALTY,https://www.properati.com.pe/detalle/14032-32-9b78-4d8496242ca6-238a58f0-91c6-120d
Apartamento en alquiler en Ur. Santa Felicia,"Ur. Santa Felicia, La Molina, Lima, Lima ",USD480,1 dormitorio,1 baño,45 m²,2010,S/.270,Apartamento,Alquiler,24 feb. 2023 - Publicado por Marcia Rodriguez,https://www.properati.com.pe/detalle/14032-32-efa4-529b60903d51-866e4439-89b1-47e1
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",USD800,2 dormitorios,2 baños,120 m²,2008,S/.350,Apartamento,Alquiler,"Hace 6 días, 23 horas - Publicado por MENDIETA INMOBILIARIA",https://www.properati.com.pe/detalle/14032-32-26e2-9685fe1d507-50c99715-8f45-4a3a
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,700",3 dormitorios,3 baños,160 m²,2014,S/.850,Apartamento,Alquiler,22 mar. 2023 - Publicado por Rocío Mazzetti,https://www.properati.com.pe/detalle/14032-32-4e2c-857814eee6df-7636074d-a6c9-4c25
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",USD550,1 dormitorio,1 baño,46 m²,2012,S/.180,Apartamento,Alquiler,28 feb. 2023 - Publicado por MENDIETA INMOBILIARIA,https://www.properati.com.pe/detalle/14032-32-270c-6dc4531ddd70-9a3f5ddd-9c03-4911
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",USD900,2 dormitorios,2 baños,100 m²,2012,S/.690,Apartamento,Alquiler,"Hace 1 semana, 18 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-d8c9-2d992ccedc6d-5b23d140-9325-120d
Casa en alquiler en Miraflores,"Miraflores, Lima, Lima ","S/.3,900",5 dormitorios,3 baños,500 m²,,,Casa,Alquiler,17 mar. 2023 - Publicado por RealWasi Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-c51f-a36b6aa39cd0-71b734f0-8268-120d
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ","USD1,450",3 dormitorios,2 baños,192 m²,2013,S/.850,Apartamento,Alquiler,22 feb. 2023 - Publicado por Global Ceo Net Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-cff4-f8a8bcb1496-eaa27506-997f-4779
Apartamento en alquiler en Chiclayo,"Chiclayo, Lambayeque ","S/.2,000",3 dormitorios,3 baños,110 m²,55 m²,,Apartamento,Alquiler,15 jun. 2022 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-fe80-f0c3206fa54b-7fe53dd1-a1da-32ac
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ","S/.2,000",1 dormitorio,1 baño,52 m²,1971,S/.220,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por RE/MAX Lider-Luis Lancho Navas",https://www.properati.com.pe/detalle/14032-32-d876-956870f986d-749b1140-b7c6-120d
Casa en alquiler en Ica,"Ica, Ica, Ica ","S/.1,499",3 dormitorios,2 baños,97 m²,2018,,Casa,Alquiler,24 feb. 2023 - Publicado por Ocsor Real Estate,https://www.properati.com.pe/detalle/14032-32-123-2eff1fce7dcf-1afde88a-bd0b-48b2
Apartamento en alquiler en Surquillo,"Surquillo, Lima, Lima ","S/.1,900",2 dormitorios,1 baño,62 m²,2015,S/.200,Apartamento,Alquiler,8 mar. 2023 - Publicado por JC Consorcio Inmobiliario,https://www.properati.com.pe/detalle/14032-32-92eb-f4b5e4678034-462f0435-9df1-4991
Apartamento en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ","S/.1,350",2 dormitorios,1 baño,86 m²,2010,S/.50,Apartamento,Alquiler,27 nov. 2022 - Publicado por Encontré tu Hogar,https://www.properati.com.pe/detalle/14032-32-6e35-199e778ba6e5-f8389640-a96f-120d
Apartamento en alquiler en Ah. Los Jazmines Del Naranjal,"Ah. Los Jazmines Del Naranjal, Los Olivos, Lima, Lima ","S/.1,150",2 dormitorios,1 baño,85 m²,2019,,Apartamento,Alquiler,"Hace 1 semana, 15 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-76e9-7951952c197e-33cf760b-b051-4f61
Apartamento en alquiler en Ur. Parque Internacional De Industria Y Comercio,"Ur. Parque Internacional De Industria Y Comercio, Callao, Callao, Callao ","S/.1,500",2 dormitorios,2 baños,60 m²,2015,S/.180,Apartamento,Alquiler,"Hace 1 semana, 22 horas - Publicado por Sigifredo Rosales Benites",https://www.properati.com.pe/detalle/14032-32-f0f0-8ef8e7028479-7b4822ab-aa60-4ca3
Casa en alquiler en Ur. Rinconada Del Lago Etapa Ii,"Ur. Rinconada Del Lago Etapa Ii, La Molina, Lima, Lima ","S/.10,528",8 dormitorios,4 baños,369 m²,1997,,Casa,Alquiler,"Hace 1 semana, 17 horas - Publicado por RE/MAX PERÚ",https://www.properati.com.pe/detalle/14032-32-bfc6-5b3df02cb5a7-78d12914-8d1d-4f96
Apartamento en alquiler en Ur. Cahuache,"Ur. Cahuache, San Luis, Lima, Lima ","S/.2,500",3 dormitorios,1 baño,120 m²,,,Apartamento,Alquiler,"Hace 3 semanas, 18 horas - Publicado por REMAX AHORA",https://www.properati.com.pe/detalle/14032-32-a1b5-12c4a40e664e-3218e785-9bee-4200
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",USD630,1 dormitorio,1 baño,60 m²,2000,S/.290,Apartamento,Alquiler,26 mar. 2023 - Publicado por RUIZ BAGLIETTO TERESA ENRIQUETA,https://www.properati.com.pe/detalle/14032-32-6a3a-4fcbd024845f-93c5c692-8ab1-42b9
Casa en alquiler en Ur. Santa Maria - Iii Etapa,"Ur. Santa Maria - Iii Etapa, Trujillo, Trujillo, La Libertad ","S/.3,900",4 dormitorios,3 baños,430 m²,2005,S/.1,Casa,Alquiler,"Hace 2 semanas, 5 días - Publicado por REMAX FAMILY",https://www.properati.com.pe/detalle/14032-32-16ed-c03ebb7ef58e-98abe554-a8db-42a4
Apartamento en alquiler en Ur. Los Cedros De Villa Etapa Viii,"Ur. Los Cedros De Villa Etapa Viii, Chorrillos, Lima, Lima ","S/.1,750",3 dormitorios,2 baños,100 m²,1995,,Apartamento,Alquiler,"Hace 3 semanas, 18 horas - Publicado por Leonardo Quispe",https://www.properati.com.pe/detalle/14032-32-cdcc-87e6a8297e90-f2c2e020-b445-120d
Apartamento en alquiler en Urb Residencial Valle Hermoso,"Urb Residencial Valle Hermoso, Provincia de Lima, Provincia de Lima ","USD1,000",3 dormitorios,4 baños,175 m²,,S/.250,Apartamento,Alquiler,18 ene. 2022 - Publicado por Fiorella Saldarriaga,https://www.properati.com.pe/detalle/14032-32-f4f7-f3e6e8f8e37d-6e4e10e7-9cc2-4705
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD2,490",3 dormitorios,3 baños,240 m²,2023,,Apartamento,Alquiler,24 feb. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-3bb6-7a09abeac4ff-88a1c0b7-8a42-4879
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ","S/.2,700",2 dormitorios,2 baños,68 m²,2021,S/.280,Apartamento,Alquiler,14 mar. 2023 - Publicado por Home Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-27a2-5ef3eb2766e9-c9c23a68-a285-4e75
Apartamento en alquiler en Huanchaco,"Huanchaco, Trujillo, La Libertad ","S/.1,900",3 dormitorios,2 baños,102 m²,2015,S/.1,Apartamento,Alquiler,23 feb. 2023 - Publicado por REMAX FAMILY,https://www.properati.com.pe/detalle/14032-32-bb66-ac45b82c7671-a6b9ab12-b113-46cf
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",USD647,1 dormitorio,1 baño,40 m²,,,Apartamento,Alquiler,"Hace 2 semanas, 4 días - Publicado por Century 21 Ambassador",https://www.properati.com.pe/detalle/14032-32-d55-7a7b6caaf43f-5fa1f3-b072-3f99
Casa en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ","S/.10,000",8 dormitorios,6 baños,469 m²,1997,,Casa,Alquiler,24 mar. 2023 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-90cb-f845ef21cbd2-28f7b577-ad40-4188
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ","USD3,500",4 dormitorios,5 baños,504 m²,2000,"S/.1,900",Apartamento,Alquiler,24 mar. 2023 - Publicado por Rocío Mazzetti,https://www.properati.com.pe/detalle/14032-32-3e0-f282faf7e3e6-a827f502-a0bc-47ed
Apartamento en alquiler en Urb la Calera de Monterrico,"Urb la Calera de Monterrico, Provincia de Lima, Provincia de Lima ","S/.2,200",3 dormitorios,2 baños,75 m²,2010,S/.180,Apartamento,Alquiler,16 jun. 2022 - Publicado por Carola Aguilar,https://www.properati.com.pe/detalle/14032-32-4781-5d297dd7c76b-9f3b4f46-bef8-40d0
Casa de playa en alquiler en Provincia de Cañete,"Provincia de Cañete, Gobierno Regional de Lima ","Consultar
                        ",4 dormitorios,4 baños,1 Medio baño,2013,,Casa de playa,Alquiler,7 set. 2022 - Publicado por MARY E. DELGADO ABANTO,https://www.properati.com.pe/detalle/14032-32-d89e-8edd59c3f51f-327020fa-923d-41da
Apartamento en alquiler en Ur. Las Magnolias,"Ur. Las Magnolias, Santiago de Surco, Lima, Lima ",USD950,3 dormitorios,3 baños,126 m²,2019,S/.300,Apartamento,Alquiler,22 nov. 2022 - Publicado por Maria Bolognesi,https://www.properati.com.pe/detalle/14032-32-5ac9-df17a65a74dd-a1659662-81d1-45ce
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",USD750,2 dormitorios,2 baños,64 m²,2016,S/.259,Apartamento,Alquiler,21 mar. 2023 - Publicado por Remax Inmuebles,https://www.properati.com.pe/detalle/14032-32-464e-3071bca72ba0-87c879a6-bbb1-4765
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ","S/.1,900",1 dormitorio,1 baño,64 m²,2008,S/.211,Apartamento,Alquiler,7 feb. 2023 - Publicado por Remax Inmuebles,https://www.properati.com.pe/detalle/14032-32-c93c-917e2b394e7a-21bb31e3-8195-4a40
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","S/.2,200",1 dormitorio,1 baño,45 m²,2002,S/.150,Apartamento,Alquiler,"Hace 2 semanas, 5 días - Publicado por Remax Inmuebles",https://www.properati.com.pe/detalle/14032-32-a84e-e69a3681355c-ae4ac21f-9cdf-402c
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ","S/.1,000",1 dormitorio,1 baño,40 m²,,,Apartamento,Alquiler,"Hace 2 semanas, 2 horas - Publicado por Ikasa Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-3e86-e94212b918fe-f7459d85-b549-4d36
Apartamento en alquiler en Ur. Cercado Cuadrado,"Ur. Cercado Cuadrado, Chiclayo, Chiclayo, Lambayeque ","S/.2,000",3 dormitorios,3 baños,110 m²,,,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por Lula Botey Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-103-e975c787712-b0434001-9238-45d8
Apartamento en alquiler en Ur. Santa Ines,"Ur. Santa Ines, San Isidro, Lima, Lima ","USD1,800",3 dormitorios,2 baños,255 m²,1989,"S/.1,014",Apartamento,Alquiler,23 feb. 2023 - Publicado por Verónica Arosemena,https://www.properati.com.pe/detalle/14032-32-861e-51ebd3d4560e-8d3e0474-b66d-4ee1
Apartamento en alquiler en Ah. Nuevo Lurin Iv Etapa,"Ah. Nuevo Lurin Iv Etapa, Lurin, Lima, Lima ","S/.1,350",2 dormitorios,1 baño,60 m²,2016,,Apartamento,Alquiler,21 mar. 2023 - Publicado por REMAX CENTENARIO,https://www.properati.com.pe/detalle/14032-32-6767-e5e67f175a22-96e2af59-9b32-4b79
Casa en alquiler en Ur. Nuevo Chorrillos,"Ur. Nuevo Chorrillos, Chorrillos, Lima, Lima ","S/.3,200",3 dormitorios,2 baños,107 m²,,S/.1,Casa,Alquiler,"Hace 2 semanas, 6 días - Publicado por Century 21 Platino",https://www.properati.com.pe/detalle/14032-32-9f2a-bfa8a1182dfe-fab2e7c5-b787-4456
Apartamento en alquiler en Ah. Nuevo Lurin I Etapa,"Ah. Nuevo Lurin I Etapa, Lurin, Lima, Lima ",S/.900,1 dormitorio,1 baño,21 m²,2017,,Apartamento,Alquiler,21 mar. 2023 - Publicado por REMAX CENTENARIO,https://www.properati.com.pe/detalle/14032-32-f0dc-8eaf1cb4d43c-e0c06e61-a0b0-45c5
Apartamento en alquiler en Ur. Valle Hermoso Residencial (San Demetrio De Monterrico),"Ur. Valle Hermoso Residencial (San Demetrio De Monterrico), Santiago de Surco, Lima, Lima ","USD1,000",3 dormitorios,2 baños,145 m²,2008,S/.1,Apartamento,Alquiler,"Hace 1 semana, 2 días - Publicado por CCE REALTOR - #CierraConEva",https://www.properati.com.pe/detalle/14032-32-c7ad-b92d111f57b6-86d567db-ba6b-4469
Apartamento en alquiler en Santa Cruz,"Santa Cruz, Urb Jose Balta, Provincia de Lima, Provincia de Lima ","USD1,050",2 dormitorios,2 baños,110 m²,2011,S/.550,Apartamento,Alquiler,7 set. 2021 - Publicado por Jaquelina Gonzáles,https://www.properati.com.pe/detalle/14032-32-982a-5446ecb84376-9ad63248-8fae-413b
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",USD750,2 dormitorios,2 baños,70 m²,2020,S/.250,Apartamento,Alquiler,"Hace 1 semana, 6 días - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-d42a-33cfa9e4777b-e68216a0-9712-120d
Apartamento en alquiler en Ur. La Capilla (U-3),"Ur. La Capilla (U-3), La Molina, Lima, Lima ",USD850,4 dormitorios,4 baños,164 m²,1999,,Apartamento,Alquiler,20 feb. 2023 - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-8aed-86338fe224e1-1cbf6b5f-b767-429f
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Lima, Lima, Lima ","S/.2,200",2 dormitorios,2 baños,69 m²,2014,,Apartamento,Alquiler,15 mar. 2023 - Publicado por RE/MAX Dreams pe,https://www.properati.com.pe/detalle/14032-32-f27e-4836530bc66d-1f639ca3-a015-4ba6
Apartamento en alquiler en Urb la Viñita,"Urb la Viñita, Provincia de Lima, Provincia de Lima ",USD800,2 dormitorios,2 baños,82 m²,2017,S/.270,Apartamento,Alquiler,24 oct. 2022 - Publicado por INMOBILIARIA INTERNACIONAL DEL PERU,https://www.properati.com.pe/detalle/14032-32-5809-6a4dc00e2f75-5912a42f-bab1-44c4
Apartamento en alquiler en Provincia de Lima,"Provincia de Lima, Provincia de Lima ","USD1,100",3 dormitorios,3 baños,155 m²,2014,,Apartamento,Alquiler,29 jun. 2022 - Publicado por Ventas Primeras Bienes Raices,https://www.properati.com.pe/detalle/14032-32-4df8-ddec11b0518c-45d904af-b781-4971
Casa en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ","USD2,000",9 dormitorios,4 baños,300 m²,1993,,Casa,Alquiler,25 mar. 2023 - Publicado por INMOBILIARIA INTERNACIONAL DEL PERU,https://www.properati.com.pe/detalle/14032-32-4fe0-f7d0d0c988b4-50c08739-a685-47f1
Apartamento en alquiler en As. Apu,"As. Apu, Los Olivos, Lima, Lima ","S/.1,200",2 dormitorios,1 baño,80 m²,2010,,Apartamento,Alquiler,27 mar. 2023 - Publicado por RE/MAX POWER EXPO,https://www.properati.com.pe/detalle/14032-32-1133-1b646ba89264-a1ad34db-81f6-43da
Apartamento en alquiler en Ur. Mariscal Castilla,"Ur. Mariscal Castilla, San Borja, Lima, Lima ",USD800,3 dormitorios,4 baños,129 m²,2013,S/.300,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por REQUIEROMICASA ",https://www.properati.com.pe/detalle/14032-32-8af7-1cdb06d9c0f3-b3b3d36-af41-42b8
Apartamento en alquiler en Lima,"Lima, Lima, Lima ","S/.1,100",2 dormitorios,1 baño,50 m²,2022,,Apartamento,Alquiler,6 feb. 2023 - Publicado por CBR GRUPO INMOBILIARIO S.A.C.,https://www.properati.com.pe/detalle/14032-32-87a2-4e50213a8b02-5466f069-84ea-4f8a
Apartamento en alquiler en Ur. Villa Jardin,"Ur. Villa Jardin, San Luis, Lima, Lima ","S/.1,580",2 dormitorios,1 baño,70 m²,2020,,Apartamento,Alquiler,13 mar. 2023 - Publicado por Maria Bolognesi,https://www.properati.com.pe/detalle/14032-32-7610-879441525815-991b6bb0-b39c-4c43
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ",USD900,2 dormitorios,2 baños,91 m²,2003,S/.380,Apartamento,Alquiler,8 feb. 2023 - Publicado por CONFIAR Consultores Inmobiliarios Figari & Aramburú ,https://www.properati.com.pe/detalle/14032-32-a797-f9bd39e02be4-bace4340-98a9-120d
Apartamento en alquiler en Ur. San Luis,"Ur. San Luis, Miraflores, Lima, Lima ","USD1,100",3 dormitorios,2 baños,120 m²,,S/.650,Apartamento,Alquiler,20 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-99ef-15950a9156f9-dd4b40b7-be45-4356
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",USD720,1 dormitorio,2 baños,58 m²,2015,,Apartamento,Alquiler,17 mar. 2023 - Publicado por RE/MAX Talento,https://www.properati.com.pe/detalle/14032-32-63b8-83193a53f23d-cfc11f56-b09a-4599
