title,price,price_text,area,bedrooms,bathrooms,address,district,link,scraped_date
"4,182 Departamentos en alquiler en Perú",0.0,0,0,0,0,Sin dirección,miraflores,,2025-12-24 11:32:43
"4,182 Departamentos en alquiler en Perú",0.0,0,0,0,0,Sin dirección,miraflores,,2025-12-24 11:32:43
"4,182 Departamentos en alquiler en Perú",0.0,0,0,0,0,Sin dirección,miraflores,,2025-12-24 11:32:43
Sin título,0.0,0,0,0,0,Sin dirección,miraflores,,2025-12-24 11:32:43
Sin título,0.0,0,0,0,0,Sin dirección,miraflores,,2025-12-24 11:32:43
Sin título,0.0,0,0,0,0,Sin dirección,miraflores,,2025-12-24 11:32:43
